source,target,category,color
Teizoon Kisat,Institute Of Chartered Accountants Of Pakistan,Professional Qualifications,#9467bd
Shehryar Ali Taseer,King'S College London,Masters Institute,#2ca02c
Waseem Ahmad,Hamdard University,Bachelor Institute,#1f77b4
Mussaid Hanif,Lahore University Of Management Sciences,Masters Institute,#2ca02c
Muzaffar F. Baweja,Karachi University,Bachelor Institute,#1f77b4
Taqi Mohammad,University Of Engineering And Technology,Bachelor Institute,#1f77b4
Khawar Anwar Khawaja,University Of Engineering And Technology,Bachelor Institute,#1f77b4
Mahfuz-ur-Rehman Pasha,University Of Peshawar,Bachelor Institute,#1f77b4
Khawaja Mohammad Nadeem,Lock Haven University Of Pennsylvania,Bachelor Institute,#1f77b4
Shabana Atta,Islamia College For Women,Bachelor Institute,#1f77b4
Naveed Riaz,Punjab University,Masters Institute,#2ca02c
Imran Maqbool,Institute Of Business Administration Karachi,Masters Institute,#2ca02c
Imran Maqbool,Mit Sloan School Of Management,Masters Institute,#2ca02c
Khawaja Imtaiz Ahmed,Punjab University,Bachelor Institute,#1f77b4
Shams Rafi,Lehigh University,Bachelor Institute,#1f77b4
Khalid Kuli Khan Khattak,Pakistan Military Academy Kakul,Bachelor Institute,#1f77b4
Khalid Kuli Khan Khattak,Hamdard University,Masters Institute,#2ca02c
Rizwan Akhtar,Institute Of Business Administration Karachi,Masters Institute,#2ca02c
Ghulam Hyder,Melbourne Institute Of Technology Pty Ltd.,Bachelor Institute,#1f77b4
Naeem Shafi,Karachi University,Bachelor Institute,#1f77b4
Fazal Karim Dadabhoy,Greenwich University,Bachelor Institute,#1f77b4
Ali Kuli Khan Khattak.,Royal Military Academy Sandhurst,Bachelor Institute,#1f77b4
Ali Kuli Khan Khattak.,Quaid-I-Azam University,Masters Institute,#2ca02c
Ishtiaq Ahmad,Karachi University,Bachelor Institute,#1f77b4
